Reading Name, Author, Units, Pages
 Sharing Source Code book: Two bits: The cultural significance of free software,  Christopher Kelty, 0.83333333333333, 25,  network technology 
 Conceiving Open Systems book: Two bits: The cultural significance of free software,  Christopher Kelty, 1.2, 36,  network technology 
 The Politics and Poetics of Infrastructure,  Brian Larkin, 0.16666666666667, 5,  network technology 
 On totalitarian interactivity,  Lev Manovich, 0.13333, 4,  network technology 
 What is new media? - Chapter 1 in The language of new media,  Lev Manovich, 1.4666666666667, 44,  network technology 
 From digital divides to the first mile: Indigenous peoples and the network society in Canada,  Rob McMahon, 0.83333333333333, 25,  network technology 
 Refraining - Chapter 2 in An Aesthesia of Networks: Conjunctive Experience in Art and Technology,  Anna Munster, 1.8, 54,  network technology 
 Infrastructure studies meet platform studies in the age of Google and Facebook,  Jean-Christopher Plantin & Carl Lagoze & Paul N. Edawrds & Christian Sandvig, 0.6, 18,  network technology 
 Introduction to Logistical Media Theory,  Ned Rossier, 0.86666666666667, 26,  network technology 
 Imperial Infrastructures,  Ned Rossier, 1.5333333333333, 46,  network technology 
 Sovereign Media and the Ruins of a Logistical Future,  Ned Rossier, 0.43333333333333, 13,  network technology 
 How Infrastructures Matter,  Stephen Slota & Geoffrey Bowker, 0.86666666666667, 26,  network technology 
 The ethnography of infrastructure. American Behavioral Scientist,  Susan Star, 0.5, 15,  network technology 
 Do Artifacts Have Politics?,  Langdon Winner, 0.53333333333333, 16,  network technology 
 The construction of platform imperialism in the globalization era,  Dal Yong Jin, 0.93333333333333, 28,  network technology 
 DIGITAL SOVEREIGNTY OR DIGITAL COLONIALISM? New tensions of privacy  security and national policies,  Renata Ávila Pinto, 0.43333333333333, 13,  network technology 
 Rethinking Collaboration in Networked Music.,  Nicolas  Makelberge, 0.23333333333333, 7,  network music 
 Connective Criticism (1977),  Roy Ascott, 0.066666666666667, 2,  network music 
 Network as Artwork: The Future of Visual Arts Education (1978),  Roy Ascott, 0.066666666666667, 2,  network music 
 Art and Telematics: Towards a Network Consciousness (1984),  Roy Ascott, 0.53333333333333, 16,  network music 
 Concerning Nets and Spurs: Meaning  Mind  and Telematic Difusion (1985),  Roy Ascott, 0.36666666666667, 11,  network music 
 Art and Education in the Telematic Culture (1988),  Roy Ascott, 0.33333333333333, 10,  network music 
 Is There Love in the Telematic Embrace? (1990),  Roy Ascott, 0.5, 15,  network music 
 The Polyphonic History of Net Art  An Eternal Network?,  Launay Aude, 0.16666666666667, 5,  network music 
 The Silent Network — The Music of Wandelweiser,  Douglas Barret, 0.7, 21,  network music 
 Network Socio-Synthesis and Emergence in NOMADS,  M. Burtner, 0.36666666666667, 11,  network music 
 Liveness becomes Entelechy,  Luke Church, 0.2, 6,  live coding 
 What now  what next—kairotic coding and the unfolding future seized,  Emma Cocker, 0.43333333333333, 13,  live coding 
 Performing thinking in action: the meletē of live coding,  Emma Cocker, 0.5, 15,  live coding 
 Live Coding Practice,  Nick Collins, 0.2, 6,  live coding 
 Live Coding of Consequences,  Nick Collins, 0.16666666666667, 5,  live coding 
 TELEMATIC MUSIC TODAY,  Mark Cook, 0.8, 24,  network music 
 ARTISTIC AND TECHNOLOGICAL PRECURSORS OF TELEMATIC MUSIC,  Mark Cook, 0.96666666666667, 29,  network music 
 Double Coding,  Geoff Cox and Alex McLean, 0.53333333333333, 16,  live coding 
 Vocable Code,  Geoff Cox and Alex McLean, 0.7, 21,  live coding 
 Coding Publics,  Geoff Cox and Alex McLean, 0.96666666666667, 29,  live coding 
 Scaling Up Live Internet Performance with The Global Net Orchestra,  Roger Dannenberg and Tom Neuendorffer, 0.23333333333333, 7,  network music 
 Grounding Algorithmic Music,  Roger Dean and Alex McLean, 2, 60,  live coding 
 Perspectives on Practice A,  Roger Dean and Alex McLean, 1, 30,  live coding 
 Part IV Algorithmic Culture,  Roger Dean and Alex McLean, 1, 30,  live coding 
 LIVE CODING. ARTE COMPUTACIONAL EN PROCESO,  Carolina Di Próspero, 0.66666666666667, 20,  live coding 
 Tele-Media and Instrument Making,  B Gremo, 0.43333333333333, 13,  network music 
 The Aesthetics and History of The Hub: The Effects of Changing Technology on Network Computer Music,  S. Gresham-Lancaster, 0.16666666666667, 5,  network music 
 Curating the post-internet age,  Boris Groys, 0.5, 15,  network music 
 Live coding for all: three creative approaches to live coding for non programmers,  Mauro Herrera & Jaime Lobato & Alberto Cerro and Lomeli, 0.26666666666667, 8,  live coding 
 Network Musics: Play  Engagement and the Democratization of Performance,  David Kim-Boyle, 0.4, 12,  network music 
 Changing Music’s Constitution: Network Music and Radical Democratization,  Shelly Knotts, 0.2, 6,  network music 
 Live Coding and Failure,  Shelly Knotts, 0.26666666666667, 8,  live coding 
 Telematic Music vs. Networked Music: Distinguishing Between Cybernetic Aspirations and Technological Music-Making.,  Eric Lemmon, 0.73333333333333, 22,  network music 
 Dislocated Sound: A Survey of Improvisation in Networked Audio Platforms,  Roger Mills, 0.13333333333333, 4,  network music 
 Tele-Improvisation: A Multimodal Analysis of Intercultural Improvisation in Networked Music Performance,  Roger Mills, 2.0666666666667, 62,  network music 
 Intercultural Tele-Improvisation: Multi-idiomatic Approaches,  Roger Mills, 0.7, 21,  network music 
 Towards a Theory of Tele-Improvisatory Collaboration,  Roger Mills, 0.73333333333333, 22,  network music 
 Bellacode: localized textual interfaces for livecoding music,  Luis Navarro del Angel & Marianne Teixido & Emilio Ocelotl & Ivanka Cotrina, 0.3, 9,  live coding 
 Saboritmico: A Report from the Dance Floor in Mexico,  Emilio Ocelotl & Luis N Del Angel &  Marianne Teixido, 0.1, 3,  live coding 
 Network Music and the Algorithmic Ensemble,  David Ogborn, 0.56666666666667, 17,  network music 
 Estuary: Browser-based Collaborative Projectional Live Coding of Musical Patterns,  David Ogborn, 0.33333333333333, 10,  network music 
 Telematic Music: Six Perspectives,  Pauline Oliveros  S. Weaver M. Dresser J. Pitcher J. Braasch and C. Chafe, 0.96666666666667, 29,  network music 
 netart | arte en red prácticas artísticas en red situadas en latinoamérica: de las experiencias pioneras a la web 2(punto)0,  Lila Pagola, 0.46666666666667, 14,  network music 
 Musical implications of media and network infrastructures Perturbations of traditional artistic roles,  Atau Tanaka, 0.3, 9,  network music 
 The Euclidean Algorithm Generates Traditional Musical Rhythms,  Godfried Toussaint, 0.33333333333333, 10,  live coding 
 Stabilizing and Destabilizing Agents in Laptop Orchestra Improvisation,  Eldad Tsabary, 0.36666666666667, 11,  network music 
 Building on the Foundations of Network Music: Exploring interaction contexts and shared robotic instruments,  O Vallis, 0.36666666666667, 11,  network music 
 Live Coding From Scratch: The Cases of Practice in Mexico City and Barcelona,  Hernani Villaseñor & Iván Paz, 0.23333333333333, 7,  live coding 
 Sema,  Sarah Weaver, 0.066666666666667, 2,  network music 
 Internet2 and Global Electroacoustic Music: Navigating a decision space of production  relationships and languages,  I Whalley, 0.4, 12,  network music 
 Towards Responsive Scoring Techniques in Networked Music Performance,  Rebekah Wilson, 0.3, 9,  network music 
 Becoming Latency-Native,  Rebekah Wilson, 0.066666666666667, 2,  network music 
 Post-Acousmatic Practice: Re-Evaluating Schaeffer’s Heritage,  Monty Adkins & Pierre Alexandre Tremblay, 0.3333, 10,  sound studies 
 Time Robbers  Time Rebels: Limits of Fast-Capital,  Ben Agger, 0.53333333333333, 16,  time studies 
 Repeating,  Jacques Attali, 1.5333333333333, 46,  sound studies 
 Composing,  Jacques Attali, 0.53333333333333, 16,  sound studies 
 Time  Biopolitics and the Capitalist World-System,  Christopher Breu, 0.16666666666667, 5,  time studies 
 Lived Time and Polytemporality book: Feminism  Time  and Nonlinear History. Breaking Feminist Waves,  Victoria Browne, 0.76666666666667, 23,  time studies 
 Generational Time book: Feminism  Time  and Nonlinear History. Breaking Feminist Waves,  Victoria Browne, 0.76666666666667, 23,  time studies 
 Conclusion book: Feminism  Time  and Nonlinear History. Breaking Feminist Waves,  Victoria Browne, 0.13333333333333, 4,  time studies 
  Decolonizing the Ear: The Transcolonial Reverberations of Vernacular Phonograph Music,  Michael Denning, 0.66666666666667, 20,  sound studies 
 UIO-BOG Estudios Sonoros desde la Región Andina,  Mayra Estévez Trujillo, 1.9, 55,  sound studies 
 Of Other Spaces: Utopias and Heterotopias,  Michel Foucault, 0.13333333333333, 4,  time studies 
 1999: Vibrational Anarchitecture,  Steve Goodman, 0.2, 6,  sound studies 
 13.7 Billion B.C.: The Ontology of Vibrational Force,  Steve Goodman, 0.13333333333333, 4,  sound studies 
 1931: Rhythmanalysis,  Steve Goodman, 0.2, 6,  sound studies 
 1900: The Vibrational Nexus,  Steve Goodman, 0.13333333333333, 4,  sound studies 
 1677: Ecology of Speeds,  Steve Goodman, 0.2, 6,  sound studies 
 1993: Vorticist Rhythmachines,  Steve Goodman, 0.13333333333333, 4,  sound studies 
 2012: Artificial Acoustic Agencies,  Steve Goodman, 0.2, 6,  sound studies 
 1877: Capitalism and Schizophonia,  Steve Goodman, 0.13333333333333, 4,  sound studies 
 1928: Contagious Orality,  Steve Goodman, 0.26666666666667, 8,  sound studies 
 2003: Contagious Transmission,  Steve Goodman, 0.2, 6,  sound studies 
 Network Time - 24 7: Time and temporality in the Network Society,  Robert Hassan, 0.83333333333333, 25,  time studies 
 The Rhythmic Event: Art  Media  and the Sonic,  Eleni Ikoniadou, 1, 30,  sound studies 
 Introduction,  Caleb Kelly, 1.4333333333333, 43,  sound studies 
 The Complex and the Singular,  Stanley Kwinter, 1.1666666666667, 35,  time studies 
 Unlikely Publics: on the Edge of Appearance,  Brandon Labelle, 0.96666666666667, 29,  sound studies 
 Poor Acoustics: Listening from Below,  Brandon Labelle, 0.33333333333333, 10,  sound studies 
 The Technicity of Time,  A Mackenzie, 0.76666666666667, 23,  time studies 
 soundtimelanguage,  Christof Migone, 1.5333333333333, 46,  sound studies 
 Time,  Alfred North Whitehead, 0.83333333333333, 25,  time studies 
 The time of the Black Swan,  Susie O’Brien, 0.13333333333333, 4,  time studies 
 LONG-TERM PROCESSES book: Politics in Time: History  Institutions  and Social Analysis,  P. Pierson, 0.8, 24,  time studies 
 THE LIMITS OF INSTITUTIONAL DESIGN book: Politics in Time: History  Institutions  and Social Analysis,  P. Pierson, 1, 30,  time studies 
 INSTITUTIONAL DEVELOPMENT book: Politics in Time: History  Institutions  and Social Analysis,  P. Pierson, 1.1333333333333, 34,  time studies 
 TEMPORAL CONTEXT IN SOCIAL SCIENCE INQUIRY book: Politics in Time: History  Institutions  and Social Analysis,  P. Pierson, 0.4, 12,  time studies 
 Socialism  Anew? Russia’s New Left  “Chevengur” and the Re-thinking of Failure,  Petra Rethmann, 0.13333333333333, 4,  time studies 
 Hungry Listening,  Dylan Robinson, 1.2333333333333, 37,  sound studies 
 The Clock-Time Paradox: Time Regimes in the Network Society,  Ida Sabelis, 0.8, 24,  time studies 
 Tempo Tantrums: Speed and the Cultural Politics of Time book: In the Meantime: Temporality and Cultural Politics,  Sarah Sharma, 0.86666666666667, 26,  time studies 
 Slow Space: Another Pace and Time book: In the Meantime: Temporality and Cultural Politics,  Sarah Sharma, 0.96666666666667, 29,  time studies 
 Toward a Temporal Public book: In the Meantime: Temporality and Cultural Politics,  Sarah Sharma, 0.46666666666667, 14,  time studies 
 Musical Economies of the Elusive Metropolis,  G Steingo, 0.63333333333333, 19,  sound studies 
 'Time-lag' and Catching Up: Managing Polysemic Temporality in the Context of Immigration,  Rachel Zhou, 0.16666666666667, 5,  time studies 
